Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	18388035.9	126246.23059495018	25486861.8	73537.28086533162	28036262.8	89158.84532775074	27841162.8	219183.21406216815	24002871.9	594168.8571921191
2	36641733.6	114961.78342407725	48347751.7	484843.68660884467	52463366.2	571896.3053500754	52849978.2	390492.3650028398	46943750.6	346025.7156044909
3	50748796.0	464075.89479763136	67901118.7	590765.3357230865	70599988.4	251641.22978478708	70577249.0	337613.3285859563	64046467.0	222289.38670770786
4	58416831.8	1983865.9501921327	80210003.5	4991556.7609069	84670111.4	711717.6935678921	84963902.3	610544.8375890814	79271395.3	633435.9626418531
5	60895000.5	2170009.8105312926	93833543.0	1091032.1358035244	92124120.1	959636.1582028484	92293206.0	741086.8587827235	88246753.0	1589395.1113790988
6	66999053.4	2451419.1612901017	105165958.9	447756.83399523154	104646679.9	716953.9927859078	96220318.4	6660014.339178777	98971670.5	1261536.9118490394
7	71402002.7	418013.56461404986	114933221.5	540107.4669745005	114093826.8	832383.4787498688	112815269.5	1045517.0044480652	108166998.1	1177468.8881529314
8	74032209.6	1021819.816240961	123522390.6	993081.4785021642	123286970.7	2324321.791185217	123050108.4	3789111.724292595	114226131.5	2430613.5510197715
