Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.0520544	0.00029949260795923124	0.0847712	0.00017133255512144927	0.0318431	0.00018515005926124926	0.031979999999999995	0.00021126918058880963	0.018822	0.00019881705717121509
2	0.058435	0.0009180528912383608	0.08619489999999999	9.316228373709561e-05	0.047555	0.0012902594054426935	0.045615699999999995	0.0006021221821376645	0.019945200000000003	0.0001272327700625029
3	0.0919848	0.006738927408885055	0.0890844	0.0005895542949268239	0.0570464	0.00203649754889778	0.0580141	0.0007476867213835835	0.0207355	0.00025485998334597574
4	0.1396771	0.008712431443377648	0.0957732	0.00449098734009448	0.0741707	0.005837911766110281	0.0780188	0.0038974329671379007	0.0241255	0.002005227515492666
5	0.15041469999999998	0.006008871682770399	0.0996786	0.0004801963024523285	0.0895146	0.0022510441132949847	0.0897657	0.0017193533054287858	0.026171500000000004	0.0021814016518437555
6	0.18730850000000002	0.006193329085933238	0.10583089999999999	0.0005673966768398361	0.1039355	0.0076565143686783315	0.10126969999999999	0.0025493615344500146	0.0294655	0.0003196704031759379
7	0.2224787	0.002092440098704537	0.1100788	0.0005452790926570411	0.12025699999999999	0.0055803772473034694	0.1216536	0.007873182276281651	0.0330077	0.0006372252436235641
8	0.2846094	0.0005618507512379666	0.1148872	0.0017309762691742597	0.19741930000000002	0.005378506753737511	0.1970666	0.0033818113883933108	0.0367558	0.0006068514004451356
