Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.0485452	0.00015618137604151862	0.0785464	0.00020601197376204312	0.020854400000000002	8.521241432769995e-05	0.0208122	0.00010303268089947648	0.015060899999999999	0.00013657350483246096
2	0.052155799999999995	0.0006332601361210087	0.07972900000000001	0.00011698242982982076	0.0269416	0.0007797786295552804	0.0274777	0.0013438733447266025	0.0158228	0.0001888402028759295
3	0.06651789999999999	0.006703226295349624	0.0842798	0.00410885617497944	0.0319577	0.0021888503349678547	0.030984699999999997	0.0008666839805962856	0.0162534	0.00012321994788002348
4	0.0926499	0.003049160155773315	0.0843237	0.0003655206484515553	0.0380562	0.0017358870803008916	0.0368893	0.0013907210799517723	0.0196739	0.0018717929877229713
5	0.1173506	0.0035890897081757834	0.091601	0.0004282032227809613	0.0431144	0.0020299932238529487	0.0431979	0.0006577224085179606	0.0228638	0.0023344529123544137
6	0.144865	0.005045339918071808	0.09666430000000001	0.0004892951960615267	0.0528078	0.001053305569254346	0.051470400000000006	0.0010863361665095508	0.024132900000000002	0.0001287404365380206
7	0.1680872	0.0011604747878921529	0.10070380000000001	0.0005082634487481206	0.0673212	0.001919524698113224	0.068155	0.001343080621390822	0.0269972	0.00035986750648290216
8	0.2074584	0.0010023201085481665	0.1059499	0.0018403627933402476	0.08559	0.0012078333218343233	0.0862963	0.0009597731271272163	0.029149599999999998	0.0005252149189723296
