Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.312234	0.00028285489016258543	0.3118283	0.00014684387022351563	0.3129748	0.0004621336507019493	0.311607	0.00012666754385662208	0.31245310000000004	0.0004043662943421554
2	0.1562825	0.00010519743342876846	0.1562283	9.955573536689942e-05	1.3424049999999998	0.06354900178427496	0.15611360000000002	0.00013415016461662	0.15641909999999998	9.34290580541638e-05
3	0.1287747	0.04495730512645673	0.10753729999999999	0.001132796838704	1.514099	0.19597516494869108	0.1070089	0.00015337640699345697	0.1076366	0.0010190959174135122
4	0.10355189999999999	0.04479010721489984	0.1183293	0.049921496932795496	1.454653	0.22504045221791671	0.10840799999999999	0.04363148013635211	0.1131616	0.049816962381635965
5	0.14248529999999998	0.01718275459128845	0.1354636	0.019004169917853996	1.485589	0.08593695291704653	0.139315	0.015939498486464372	0.1350806	0.01686181321606111
6	0.1282677	0.001639480679971557	0.125075	0.007924172049284809	1.44008	0.08904677846814868	0.1300033	0.007658037956581593	0.1277061	0.0018326805171054142
7	0.1108533	0.00013483244746309903	0.11111439999999999	0.0013436133041582739	1.233529	0.07599249560172232	0.11068439999999999	8.09694043725411e-05	0.11231450000000001	0.0034347382966780264
8	0.10032270000000001	0.0027438820856589296	0.0989044	0.0016382596592454783	1.200155	0.07382657414508678	0.09936510000000001	0.002547401309831911	0.1002423	0.0023200471283527347
