Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	18151734.1	315869.7941309397	25577472.1	333602.59846058686	28214953.6	18064.3148912127	26530620.6	1751205.576061068	25215839.6	1207684.389170007
2	36635849.0	103272.4880670334	45455379.9	6291116.92660065	47053625.1	7968869.959878132	49434041.6	6340528.970869793	44067447.7	8361167.514444433
3	49832912.0	3501196.2224569605	65981101.5	1033063.439765358	69590662.6	3443233.272427795	70372472.1	2605151.4659063686	62837182.0	4478675.634065971
4	54779501.9	4821642.800080037	77164672.5	6646685.921061601	81033135.1	3792397.2369434806	80757945.2	3579748.1389893214	73481756.2	2412013.2761359247
5	57566204.8	4029306.8650289057	84753449.0	4898247.004230187	89007335.8	4832706.635933459	85941224.8	5943789.155244019	86213089.7	8673536.70578945
6	68263018.0	2979380.0938592725	96747978.8	4862656.875820478	106376535.8	5404583.906198162	103578481.9	5670768.4198924815	100585080.9	6910782.519622369
7	72013951.6	2697039.324452039	110698287.4	2714699.1025253283	118781080.1	3352603.140625984	118585542.7	2741644.643144494	110890962.1	2296643.5300963037
8	74785049.7	1946612.3326535511	120956101.2	1975730.7668412381	129578572.8	4194472.324289746	128884652.7	2935632.2110775784	120093785.6	1309991.582472549
