Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	20084362.3	152325.88992905238	25945435.1	369763.51679401495	28096924.7	160869.00322315394	25650786.6	2021394.3111109773	26158087.1	2341653.0169246513
2	35235620.9	7785594.909031543	47240551.4	5179312.118237157	50992148.8	4684081.43665998	50369864.4	4747696.282845167	46186326.3	7876306.993026026
3	52526379.3	4134587.1866941107	66390018.3	893963.5578687447	69738279.3	896322.7590778335	68390652.2	4226632.845493911	70706167.3	868084.0998284095
4	61912113.9	2580747.2482965277	77709999.4	7101492.91703428	78029014.8	2499742.0847753165	79483904.2	3052944.3682190473	81395754.1	4724039.262425382
5	62533321.5	3583277.7438653456	86117673.9	7440396.018397743	90163888.0	6673715.0425960235	85537775.9	3838254.555025021	88252260.8	9980428.98711699
6	72422881.5	4969606.732840543	102936233.9	6327058.918647475	104192975.3	5997568.078771188	104287231.7	5600893.844594848	101868920.0	9273289.32868977
7	78360250.9	1798823.8125166649	116349144.8	3188125.105115049	120843817.5	3824301.365598784	117364422.1	2579679.661824246	114131292.5	2527668.003010296
8	82372482.2	1864615.3368150643	124540923.8	2373548.179016751	132844606.1	3966535.922188401	130029221.9	4008014.2067015753	124297146.3	2323996.4362466005
