Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	20286044.3	17249.125021609387	26687016.0	459280.95404810045	28177967.9	128495.36953563735	26159908.9	1779654.3955806855	26722395.0	1618924.1517922396
2	37033800.4	6767550.566440666	45337154.2	7649713.577361846	47181932.6	6564139.969316387	45723216.3	7265274.604059277	49014383.4	6824247.543076399
3	52618827.3	4195122.232415484	68625753.6	1145446.9910107583	69459592.7	1039388.9960961627	69054038.9	3092395.7567049838	69521265.3	3909450.6864989796
4	58823192.2	6684732.178058807	78966017.5	4928162.257825736	77938699.4	4413368.274660377	77245813.8	1960095.9791389357	80419796.8	4960376.319018096
5	62719316.3	4406157.648800194	88639174.6	6790478.618826333	89260269.5	4625612.859462991	84013392.1	3974749.949962987	89542162.9	5524811.097552113
6	71587967.6	3805964.2470507086	100939241.4	4219012.343550277	100301829.2	5284135.8441687785	97574544.6	3943891.2221158263	99132680.9	5555785.406194689
7	77606228.8	1820354.4352227917	110688688.3	2631366.794864307	112882733.4	1997304.9311819163	112877511.3	2241046.9430288877	114280013.5	2108248.6189301643
8	82611007.7	1848943.0925039342	123249882.8	2586629.5321827075	124477310.5	4699863.518203439	123039114.6	3372782.0529952287	124241312.9	3757744.271592155
