Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	5.3840972	0.3131418168664159	5.3969393	0.3833863223042927	5.401061	0.3409165883047249	5.5266598	0.49686093936964776	5.3957016	0.34074867610249043
2	2.8399232	0.25938965871865016	7.7892506	0.43691941938409357	2.6778817	0.15803613351315865	2.6747693	0.15323861308143663	2.711327	0.22743404039901818
3	1.9109802999999999	0.201274969858566	10.783458300000001	0.9532044575408726	2.8014858	0.8660738542641474	2.6973872	0.8845292495227555	2.8876455	0.7958532769955151
4	2.0428511	0.853207972603847	7.9196366	0.34011561389628164	2.0581150999999998	0.8394156623618135	1.7732873999999998	0.6724656166521659	1.8734563000000002	0.7930758143271536
5	2.4396944	0.020456181202213118	6.4697034	0.7100082244464496	2.440382	0.01890895669605626	2.438991	0.01856760474590088	2.4176213	0.09608112045910881
6	2.0492974	0.00313479661576668	5.5492518	0.6243009253181248	2.0506205	0.004652491692033813	2.0907933	0.11274000233876373	2.0519803	0.011610017207854014
7	1.7810272	0.001687209451530325	5.383525199999999	0.8493442314999131	1.7830113	0.004722354098681421	1.7807545	0.0017895409870814741	1.7817629	0.002213912798142206
8	1.5827197	0.005366983469945329	5.293194	0.4788096432513076	1.5841568000000001	0.009721385964288544	1.5869235	0.00917169965164584	1.6076419999999998	0.08491123171877796
