Thread count 	 glib 	 hoard 	 tcmalloc
1	18768495.0	31850314.0	33856863.0
2	36788611.0	58853788.0	62737794.0
3	52486633.0	78534381.0	84180722.0
4	60185054.0	95519645.0	94254227.0
5	62972630.0	108622063.0	112259421.0
6	65868605.0	122951417.0	131764600.0
7	64957895.0	132113258.0	141994893.0
8	72151660.0	142063398.0	154100027.0
