Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	15647102.8	12312.215278603062	22134100.9	270370.0440788719	24398330.8	4768.643944211673	24221897.6	316396.94511560776	23284099.6	9432.027226423808
2	27781050.7	5448845.661609338	37425211.7	5947830.658551216	44514185.0	4232879.0563133005	38948111.3	7317970.20262155	42521814.8	4599398.120130207
3	35758877.2	5463312.96627153	52165123.4	4249527.705293514	56649725.4	3568213.2357945764	55179172.1	4411559.213653237	53170932.0	4367313.243198462
4	47571873.5	3211437.881924172	63586963.1	5295145.781204716	65182649.7	3739619.1478905994	66347078.2	4084034.1192307444	65834404.0	5227316.004989665
5	51829327.9	1263236.9414118854	73769397.5	4007554.8854522603	75870817.6	3533616.538542605	76168517.2	4080320.973094772	78273183.9	3570880.0114864446
6	56076586.8	2503434.6398736453	85339486.1	4086792.41459217	91565740.4	3351335.433690251	89608705.7	2559100.447115529	85330770.6	10656185.989772338
7	58938001.0	1562140.769545078	91541454.1	2641618.4644193435	102302759.9	4018299.479636973	98539050.0	2509853.6694080615	79036373.7	11609667.327421803
8	62772863.5	620160.8671824593	99016150.3	1785217.583738934	108914341.4	3114260.2791954093	107996854.5	2626248.8228102177	57197429.1	6635381.557656742
