Thread count 	 glib 	 hoard 	 tcmalloc
1	18463747.0	33321614.0	33807789.0
2	36510913.0	59109895.0	62373029.0
3	52596873.0	81984719.0	82116472.0
4	60713761.0	98022418.0	98154059.0
5	65427748.0	108391089.0	107805251.0
6	66420748.0	116766921.0	122458933.0
7	66529488.0	128522739.0	134957201.0
8	66789671.0	139973724.0	145302236.0
