Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	16614014.5	2682.236059294144	23249645.3	261882.96619675576	24015562.1	5452.540375315385	23860306.5	327529.5627346739	24002822.7	8995.84195367813
2	25713495.8	8250899.015060558	38861296.2	6600623.773263871	41224953.6	6077710.718102064	37142238.6	6575908.962198427	38939515.9	6882986.944301587
3	35592999.6	6681656.216439141	50871493.5	847082.0613166707	55585707.4	4753841.07874392	56286431.5	4028900.981817919	55502197.3	4472075.577605872
4	46178336.5	5878227.477986318	67448433.2	5863956.973442152	68214039.9	2961406.660768886	67398704.5	3745532.317920148	68816853.0	5664715.658466206
5	52928524.9	3183186.8290691	77235072.1	4544981.156709122	76888240.7	2538672.498684436	76283104.4	2971066.4986324054	82602147.3	4507537.021909318
6	57827542.6	3075949.2666543047	85139903.8	3917616.8093471997	89761984.7	2108355.429186879	88672071.6	3207483.3035510774	91060106.8	4670424.008603568
7	61164519.3	1404044.5818093645	95064334.5	2779872.1892667515	99228104.3	2898957.322375947	99090011.9	3288923.810440682	101217570.3	2160522.77640287
8	65126017.0	553660.882687629	100934626.8	1793626.8225863732	108199062.0	2801446.056703256	108603092.2	3389294.767043689	107321414.7	1930213.376617325
