Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.05537260000000001	0.00012426065793770479	0.08630170000000001	8.960660937924557e-05	0.026178	0.0038112651442795214	0.0249609	0.00019090803486961405	0.090853	0.00025289611393701646
2	0.06041729999999999	0.0005466949281312598	0.0894356	0.0001070744289423643	0.031972099999999996	0.0006241086888960568	0.032606	0.0004578053929103263	0.1574097	0.0007940839656134911
3	0.0789964	0.00047853391845417806	0.09243219999999999	0.00017240443407548375	0.038302199999999995	0.000390038972411732	0.038651200000000004	0.00033716919590417283	0.1801275	0.00327188556747736
4	0.12707390000000002	0.015786977562042854	0.1006186	0.0033935601823322824	0.0461497	0.0012400448065381438	0.0479947	0.0017465419198455494	0.19057200000000002	0.004346040062197107
5	0.1588231	0.0018806665160108651	0.10455220000000001	0.000652151277610407	0.053401699999999996	0.0034837683316903977	0.0529887	0.0015419786026761562	0.1928807	0.0010588486461981083
6	0.19842100000000001	0.007967598746032442	0.11065080000000001	0.0006871844002885984	0.0652786	0.001528364281765895	0.0660017	0.0012583342649003177	0.2066817	0.003909635164848791
7	0.2314582	0.002028824552953419	0.1159826	0.0023709072900005568	0.08518909999999999	0.00190503207613707	0.0845346	0.0019290775688568518	0.2253784	0.0030186222832426185
8	0.27515290000000003	0.0020068321332665246	0.1205743	0.002787219803555749	0.10769979999999998	0.001664722519420781	0.10811839999999999	0.0009204535355525076	0.2486042	0.005645193349705179
