Thread count 	 glib 	 hoard 	 tcmalloc
1	18599936.0	30755130.0	34264844.0
2	35950734.0	57297227.0	63996286.0
3	51171708.0	75851479.0	88104286.0
4	59708296.0	98504267.0	106193651.0
5	65450428.0	108052856.0	118266184.0
6	69730632.0	117870729.0	132897318.0
7	72886076.0	128466752.0	143626101.0
8	75297157.0	141643927.0	159689890.0
