Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.0618004	0.0003228192476706831	0.09428020000000001	9.911362727249515e-05	0.039703	0.0002490247644980989	0.039779300000000004	0.000243389057546417	0.1677797	0.0002579552286735095
2	0.07046749999999999	0.0006426324766147467	0.09776169999999999	0.00016290218605722294	0.0605131	0.0019573114468576518	0.0583935	0.0006975170647056279	0.1820531	0.0021240028483973383
3	0.1101715	0.009774241968334707	0.10143189999999999	0.0003606304510468054	0.0771024	0.0011491917159464733	0.07738700000000001	0.0005425745212513303	0.1881224	0.0018861174819070896
4	0.1610562	0.009966203665945781	0.10657190000000001	0.003572569428607684	0.10152989999999999	0.00936999594983904	0.0926337	0.008109813726453757	0.202759	0.0033116894312252335
5	0.202839	0.009031736574743284	0.11525389999999999	0.00047787642521657833	0.11450540000000001	0.002615068819999456	0.11666689999999999	0.0022749305947898962	0.210192	0.0028097941798881556
6	0.2542322	0.011587278721847406	0.12348269999999999	0.002054239142737658	0.12366980000000001	0.0020886538354750023	0.1270936	0.0029342749322068947	0.2270492	0.0032788250198983017
7	0.3003216	0.002354342616433635	0.1277383	0.0005891630692959486	0.15205200000000002	0.009147640740164163	0.1486963	0.0022331450194239045	0.2553449	0.00848031412481611
8	0.3608149	0.0013323024723304313	0.13325009999999998	0.001972190516490057	0.24865759999999998	0.007203249269908991	0.2550518	0.0038037185548413554	0.29614799999999997	0.010913403247587097
