Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	1.347362	8.149573949329383e-05	1.3499409	0.008165264919836424	1.3472006	0.0001425405985051801	1.3473015	0.00025733300949897224	1.3474461999999998	0.00028689672938763826
2	0.6919761	0.00023600021186431406	4.5273273000000005	1.6748540394543872	3.1719488	1.9721465198013053	1.6562263000000002	1.8311576747586058	0.6925755	0.00021117672956818067
3	0.4741295	0.00016919104914596506	2.9664823	0.7900796705759138	5.2087477	0.9585436287690764	1.2519972000000001	1.6362194558271483	0.4747108	0.00012490511954635374
4	0.6167136999999999	0.21600285597188548	3.9251312	0.3374656919374834	4.4759582	0.5488524741870887	1.8548669	1.5988844759982885	0.742985	0.13241399625249423
5	0.6336682	0.0043999298176221075	4.1186617	0.5929706264031128	3.9568073	0.5886711978672436	1.4782231	1.441984902411214	0.635965	0.003850071052735417
6	0.5376125	0.00012713531723674383	3.799841	0.4508286287291189	4.1040364	0.4189041994912175	2.7957881	1.0304915751574801	0.5391664	0.0038582455483174146
7	0.4686362	0.0032498038846811785	3.4134662	0.2016202681818804	4.1131535999999995	0.28086206739220276	2.0813973999999997	1.0148143102358076	0.46955020000000003	0.0017580734278686394
8	0.41658860000000003	0.00234926145368662	3.4608781	0.32975373926056123	3.8023094	0.18509444826490312	2.4098634999999997	0.7283387232952735	0.41721199999999997	0.000855561154382823
