Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	0.6782819	0.0012252990972728896	0.6778282	3.768819443804934e-05	0.6777052	6.989166219547731e-05	0.6778926000000001	6.232923337675976e-05	0.6783016	4.782653842562055e-05
2	0.39114909999999997	0.1320518522857593	0.348102	6.536563827170015e-05	2.0912791000000004	0.9174026504614294	0.3481959	8.128748707861308e-05	0.34871409999999997	6.576971609758367e-05
3	0.2665148	0.08835834464245895	0.2662505	0.08772038090590907	2.805145	0.494332689733229	0.23858929999999998	0.0001037144048711524	0.2395289	4.9464802300897944e-05
4	0.3103709	0.10855013837490542	0.30973419999999996	0.10827621485174951	2.60608	0.347007918321438	0.3743517	0.0669371956008018	0.3531802	0.08867315398548387
5	0.3191974	0.0007475266178835704	0.3195404	0.0029472310620874856	2.515848	0.2368931294346321	0.3194533	0.0016704780453510885	0.3218407	0.002660021096407573
6	0.2768703	0.02107746172283983	0.2699328	0.0006827183899676367	2.582828	0.18091129494865707	0.2712974	0.003233492717721123	0.27795420000000004	0.021050542314470982
7	0.23509280000000002	0.0006236930869158874	0.2427702	0.016960128621105575	2.327244	0.13974383677127067	0.2375683	0.004201748394022027	0.23730700000000002	0.00197467195587858
8	0.20875880000000002	0.0005762742017091832	0.211835	0.003621640236136106	2.232922	0.08971028329511006	0.21183380000000002	0.0024317030520467223	0.2111304	0.001978084044950793
