Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	16225958.5	2056.6417205402277	21776775.4	473484.6592749453	23826000.4	2327.0187030714737	23647557.7	347135.5550482805	23688813.8	7988.545519123685
2	23944210.0	8111441.45372965	28885514.8	304402.5359267268	33466619.8	3965606.2808166416	37153909.2	6762481.703425876	33631960.0	4021514.2803504583
3	38795308.1	6576264.49218657	50291705.8	4466134.145360039	52533518.7	4509625.585866452	51639089.2	4563689.925903813	57444521.7	4049602.5792686827
4	44624455.0	2575002.9900412844	62220200.3	4724220.981007417	64901893.2	2904382.756458621	63921772.5	3643388.405280516	68573662.6	4279943.702358094
5	54249452.0	1210976.6880397731	72995347.4	4862375.00946848	75718680.4	3392669.1317774234	77433591.1	3090075.318956893	76576507.4	5514148.786552044
6	57163204.8	4372612.22929942	85486004.3	2648422.6472970685	87859825.9	4526968.839689667	92392673.7	1588369.1024772723	92657422.8	2485450.5673052436
7	61448375.4	1471447.0413858446	94971849.7	2665685.0366991158	100976455.0	1268499.4777199468	98543338.5	2215643.2904379535	100729221.3	2783531.1445516287
8	64920758.9	527582.9377589102	100688632.5	4996636.314817894	109206946.1	3757575.137673037	108625243.1	3068045.8224897794	108867653.6	1970638.3800562473
