Thread count	glib	stdev	hoard	stdev	tcmalloc	stdev	tcmalloc-edited	stdev	scalloc	stdev
1	2.682489	0.00020354906588393887	2.682524	0.00039101577120786367	2.6820890000000004	0.0004682935926199243	2.682519	0.0002807311881498203	2.683096	0.0004756095504133943
2	1.378246	0.0014680311834411293	2.553006	0.8107484140828015	6.4911140000000005	3.1998388469532513	1.3778510000000002	0.0003310068814323155	1.7145	0.7077099446493285
3	0.9448302999999999	0.0006512941049258052	0.9443526999999999	0.00039712887636691915	6.59757	1.7065976716522522	0.9447331	0.0005698349566126774	0.9457083000000001	0.0006594939221352596
4	1.3151316	0.404410484709726	1.5220573	0.3054281729776341	5.323739	1.3921209523796576	1.3991756	0.35223024126941616	1.234915	0.43511154408138714
5	1.2698	0.0023694584472687347	1.1762116	0.15113510052429546	5.084796	0.8741666396974892	1.2081057	0.1302952913040648	1.2729190000000001	0.0021135512505943174
6	1.073032	0.00047295289875887457	1.074163	0.0022471564747970343	6.098196	0.7081575333560245	1.0757210000000001	0.003230078946403652	1.076802	0.00260154142342145
7	0.9563596000000001	0.07165450616550381	0.9341672000000001	0.0011124187660728874	5.263597	0.6928660148181609	0.9355104000000001	0.0031122749521496013	0.9358898	0.002352883091962821
8	0.8312075999999999	0.0023429004910817224	0.8311527999999999	0.0024653294483474005	5.111365	0.45910450667576785	0.8322113999999999	0.003545867272066328	0.8328096	0.0019894876057249796
